Hora;Potencia (W);Fecha
18:44:13;17,578;2018-02-01
18:44:17;20,508;2018-02-01
18:44:21;20,508;2018-02-01
18:44:24;8,789;2018-02-01
18:44:28;17,578;2018-02-01
18:44:32;23,438;2018-02-01
18:44:35;17,578;2018-02-01
18:44:39;23,438;2018-02-01
18:44:43;20,508;2018-02-01
18:44:47;17,578;2018-02-01
18:44:50;20,508;2018-02-01
18:44:54;35,156;2018-02-01
18:45:01;20,508;2018-02-01
18:44:58;20,508;2018-02-01
18:45:09;32,227;2018-02-01
18:45:12;20,508;2018-02-01
18:45:16;17,578;2018-02-01
18:45:20;14,648;2018-02-01
18:45:24;20,508;2018-02-01
18:45:27;17,578;2018-02-01
18:45:31;17,578;2018-02-01
18:45:35;17,578;2018-02-01
18:45:42;14,648;2018-02-01
18:45:38;14,648;2018-02-01
18:45:46;14,648;2018-02-01
18:45:49;0;2018-02-01
18:45:53;14,648;2018-02-01
18:45:57;14,648;2018-02-01
18:46:01;14,648;2018-02-01
18:46:04;20,508;2018-02-01
18:46:12;14,648;2018-02-01
18:46:15;17,578;2018-02-01
18:46:08;14,648;2018-02-01
18:46:19;26,367;2018-02-01
18:46:23;14,648;2018-02-01
18:46:26;11,719;2018-02-01
18:46:30;14,648;2018-02-01
18:46:34;29,297;2018-02-01
18:46:38;17,578;2018-02-01
18:46:41;17,578;2018-02-01
18:46:45;11,719;2018-02-01
18:46:49;23,438;2018-02-01
18:46:52;17,578;2018-02-01
18:46:56;14,648;2018-02-01
18:47:03;17,578;2018-02-01
18:47:00;14,648;2018-02-01
18:47:07;17,578;2018-02-01
18:47:15;8,789;2018-02-01
18:47:18;14,648;2018-02-01
18:47:22;17,578;2018-02-01
18:47:11;11,719;2018-02-01
18:47:26;17,578;2018-02-01
18:47:33;17,578;2018-02-01
18:47:29;11,719;2018-02-01
18:47:37;14,648;2018-02-01
18:47:44;29,297;2018-02-01
18:47:40;11,719;2018-02-01
18:47:52;17,578;2018-02-01
18:47:48;17,578;2018-02-01
18:47:59;29,297;2018-02-01
18:47:55;14,648;2018-02-01
18:48:03;14,648;2018-02-01
18:48:06;14,648;2018-02-01
18:48:10;17,578;2018-02-01
18:48:14;29,297;2018-02-01
18:48:17;17,578;2018-02-01
18:48:21;14,648;2018-02-01
18:48:25;17,578;2018-02-01
18:48:29;14,648;2018-02-01
18:48:36;14,648;2018-02-01
18:48:32;11,719;2018-02-01
18:48:40;11,719;2018-02-01
18:48:43;14,648;2018-02-01
18:48:47;17,578;2018-02-01
18:48:54;8,789;2018-02-01
18:48:51;17,578;2018-02-01
18:49:02;14,648;2018-02-01
18:49:05;17,578;2018-02-01
18:49:09;17,578;2018-02-01
18:49:13;17,578;2018-02-01
18:49:17;17,578;2018-02-01
18:49:24;32,227;2018-02-01
18:49:28;17,578;2018-02-01
18:49:31;20,508;2018-02-01
18:49:35;8,789;2018-02-01
18:49:39;29,297;2018-02-01
18:49:20;17,578;2018-02-01
18:49:42;17,578;2018-02-01
18:49:46;11,719;2018-02-01
18:49:50;17,578;2018-02-01
18:49:54;20,508;2018-02-01
18:49:57;14,648;2018-02-01
18:50:01;17,578;2018-02-01
18:50:05;11,719;2018-02-01
18:50:08;17,578;2018-02-01
18:50:16;17,578;2018-02-01
18:50:19;2,93;2018-02-01
18:50:23;14,648;2018-02-01
18:50:27;17,578;2018-02-01
18:50:31;14,648;2018-02-01
18:50:34;14,648;2018-02-01
18:50:42;55,664;2018-02-01
18:50:45;11,719;2018-02-01
18:50:49;26,367;2018-02-01
